id;name;path;origin_name;type
1;bypass open-source;River quantify Manors;Computers;OTHER
2;yellow Handmade;Vista;sky blue;PHOTO
3;Intranet Shores Devolved;program generate;Georgia;OTHER
4;Mozambique;teal front-end;Netherlands 5th generation Ball;OTHER
5;interactive Usability Program;Home Loan Account;pixel SSL;PHOTO
6;deposit;leading-edge;cross-platform;VIDEO
7;orange;Jewelery technologies Credit Card Account;Gloves invoice Guinea Franc;PHOTO
8;Automated grey;Fantastic Plastic Soap;plum Liaison protocol;OTHER
9;Connecticut Mouse Global;synthesize Solutions;eyeballs;VIDEO
10;Denmark regional;mobile Tunisia;auxiliary Home Loan Account;OTHER
